Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;F.S. Esclop Aleví;3 - 4;A.E. Sallent Aleví;PAOLO FORTUNATI RUBEIS;21/05/2018;19:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 2;"ALEVÍ GRUP ""B""";;COPA ALEVÍ;Fútbol sala
;;C.E. Maristes De Rubí Aleví A;13 - 3;F.S. Llinars Atletic Aleví;DAVID VALIENTE MARTIN;22/05/2018;18:45;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 20;"Aleví ""A""";;10. Aleví;Fútbol sala
;;Atlètic Sant Boi;1 - 5;"Olímpic Argentona ""B""";LAUREANO PILAR VILLALBA;22/05/2018;21:00;Colegio Público Josep María Ciurana -  Carrer Manuel de Falla -  Sant Boi de Llobregat -  España;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;"Escola de Futsal Grèvol Infantil ""B""";3 - 6;"Escola de Futsal Grèvol Infantil ""A""";ALBERT GONZALEZ GARCIA;23/05/2018;19:05;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 6;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Olímpic Argentona Infantil;0 - 15;C.F.S. Alcalà Prat - Bar La Terraza Infantil;ANTONIO RUIZ MANCHON;24/05/2018;19:00;Pavelló Municipal d' Argentona;Jornada 6;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;AE Empenta - El Pilar Juvenil Nacional;10 - 5;Grup de Joves Can Tusell Juvenil Nacional;ANTONIO RUIZ MANCHON -  MARC MIRON RUIZ;25/05/2018;20:15;Pavelló Poliesportiu Municipal de Premià de Mar Camí del Mig -  62 -  08330 Premià de Mar -  Barcelona;Jornada 15;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;C.E.F.S. Granollers C;2 - 6;"Futsal Dante ""B""";CARLOS GÓMEZ GONZÁLEZ -  HERMAN TORTA RECHE;25/05/2018;22:00;PavellÓ Municipal De Can Bassa;Cuartos de final;"COPA FEDERACIÓ BARCELONA GRUP ""A""";;"COPA FEDERACIÓ BARCELONA GRUP ""A""";Fútbol sala
;;"Escola de Futsal Grèvol Infantil ""A""";5 - 0;"F.S. Union Llagostense Mecman Infantil ""B""";JOEL JIMENEZ RODRIGUEZ;26/05/2018;10:00;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 7;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;E.P. Badalona Centre Cadet;7 - 4;Athletic Torre Roja Cadet;GABRIEL MORALES CAÑAS;26/05/2018;10:00;Escola Jungfrau Carrer Vila Vall-Llebrera -  s/n -  08911 Badalona;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Betània Patmos Barcelona Cadet;8 - 4;C.E.F.S. Granollers Cadet;FRANCISCO JAVIER LORENTE PLANA;26/05/2018;10:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S Union La Salut Badalona A;6 - 3;Athletic Torre Roja;MARIANO BURGOS BONAVENTURA -  MATILDE GOMEZ VIÑARAS;26/05/2018;10:00;CEM Besòs Ronda Sant Ramon de Penyafort s/n 08930 SAnt Adrià de Besòs;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sagrerenc C.E. Pre-benjamí;5 - 3;C.F.S. La Garriga Pre-benjamí;ISMAEL BENKHAJOU BAKKALI;26/05/2018;10:15;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 10;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;A.E. Moià Cadet;5 - 3;A.E. Tiana Cadet;JORDI GAITX PLA;26/05/2018;10:30;Pavelló Municipal d'Esports -  Moià -  Espanya;Jornada 21;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Betània Patmos Barcelona Juvenil C;6 - 5;Futbol Sala Corbera Juvenil;FRANCISCO JAVIER LORENTE PLANA;26/05/2018;11:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.E. Maristes De Rubí Aleví B;10 - 1;A.E. Centelles Aleví;DAVID VALIENTE MARTIN;26/05/2018;11:00;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Olimpic Argentona Aleví ""A""";9 - 3;A.E. Moià Aleví;MARI CARMEN DELGADO MORALES;26/05/2018;11:00;Pavelló Municipal d' Argentona;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Escola de Futsal Grèvol Cadet ""B""";6 - 3;Montsant Sala 5 Cadet;JOEL JIMENEZ RODRIGUEZ;26/05/2018;11:15;Pavelló Grèvol -  Carrer Provençals -  9 Barcelona;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Teià F5 Infantil;5 - 0;"Escola Pia Santa Anna Mataró Infantil ""B""";ANTONIO RUIZ MANCHON;26/05/2018;12:00;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 7;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;A.E. Moià Juvenil;5 - 0;Olimpic Argentona Juvenil;JORDI GAITX PLA;26/05/2018;12:00;Pavelló Municipal d'Esports -  Moià -  Espanya;Jornada 21;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Betània Patmos Barcelona Juvenil B;5 - 0;F.S. Hostalriquenc Juvenil;;26/05/2018;12:00;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Jornada 21;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;C.C.A. Plaza Macael Juvenil;2 - 5;Athletic Torre Roja Juvenil;JOAN GIBERT REY;26/05/2018;12:00;Polideportivo Can Vidalet -  Esplugues de Llobregat -  Espanya;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.E. Gadex Juvenil;8 - 0;A.E. Sallent Juvenil;DAVID VALIENTE MARTIN;26/05/2018;13:00;Poliesportiu Municipal Olimpia Carrer de Mauritània -  17 -  08206 Sabadell -  España;Jornada 21;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;"Padre Damián Sagrados Corazones ""C""";4 - 3;Futbol Sala Colomense;JOAN RAMON BERNARDO MAÑÉ;26/05/2018;13:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E. Sallent Aleví;5 - 2;C.E. Maristes De Rubí Aleví A;RICARD MARQUEZ SIMONI;26/05/2018;13:30;Pavelló D'esports Agustín Rueda de Sallent -  C/verge del Pilar s/n;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;"Futbol Sala Corbera Cadet ""B""";3 - 3;C.E. Maristes De Rubí Cadet;JOAN GIBERT REY;26/05/2018;14:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Futsal Dante;5 - 3;C.F.S. Clot A;CARLOS GÓMEZ GONZÁLEZ -  JOAN RAMON BERNARDO MAÑÉ -  NICOLAS ANDRES VALBUENA TORRES;26/05/2018;15:00;pavelló de Parque de la Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  España;Jornada 11;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Oli Les Cabanes Juncosa F.S. Femení;2 - 2;F.s. Borges Femení;HAFID AIKAR EL MIRI;26/05/2018;16:00;Poliesportiu Municipal Juncosa;Jornada 5;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;A.C. Coloso Juvenil Nacional;7 - 3;Grup de Joves Can Tusell Juvenil Nacional;ISMAEL BENKHAJOU BAKKALI -  OMAR DOUAS BERROHOUY;26/05/2018;16:00;Complex Esportiu Marina Besòs -  Sant Adrià de Besòs -  Espanya;Jornada 18;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;Banús Futsal Juvenil Nacional;1 - 6;Jesuïtes Clot Juvenil Nacional;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;26/05/2018;16:00;Pavelló Fundación Valldor 7;Jornada 18;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;C.E. Maristes De Rubí Juvenil;1 - 2;Montsant Sala 5 Juvenil;JOEL JIMENEZ RODRIGUEZ;26/05/2018;16:00;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;"Futbol Sala Corbera Cadet ""A""";4 - 0;C.f.s. Alcalà Prat - Bar La Terraza Cadet;JOAN GIBERT REY;26/05/2018;16:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Jornada 21;"Cadet ""A""";;08. Cadet;Fútbol sala
;;"Padre Damián Sagrados Corazones ""B""";5 - 0;CFS Sagrada Familia;JONATHAN GALVIS ARANGO -  MARIANO BURGOS BONAVENTURA;26/05/2018;16:00;Poliesportiu Padre Damián Sagrados Corazones;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Penya Recreativa Sant Feliu de Llobregat;4 - 2;F.S. La Salut;ALBERTO IGLESIAS PALOMARES -  GABRIEL MORALES CAÑAS;26/05/2018;16:00;Pavelló Andrei Xepkin Carrer Mataró -  4 -  08980 Sant Feliu de Llobregat -  Barcelona;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Albelda Futsal;5 - 0;F.s. Unión Llagostense MecMan B;;26/05/2018;16:00;Poliesportiu Municipal Tamarite de Litera -  Camino Piscinas -  6 - Tamarite de Litera;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;"Gelida Industrial F.S.C. ""A""";6 - 2;C.F.S. Lliça De Vall;JOSE RIZO GOMEZ -  MANUEL MALDONADO LOPEZ -  MARI CARMEN DELGADO MORALES;26/05/2018;16:15;Pavelló Municipal d'Esports de Gelida;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";2 - 5;C.F.S. La Garriga Juvenil A;ANTONIO RUIZ MANCHON;26/05/2018;16:30;Pavellon Can Badell -  Avinguda Prat de la Riba -  Bigues i Riells -  Espanya;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;A.C.E. Sansur B;0 - 2;Betis Catalunya F.S.;FRANCISCO JAVIER LORENTE PLANA -  MATILDE GOMEZ VIÑARAS;26/05/2018;16:30;Poliesportiu Espanya Industrial;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;A.E. Moià Infantil;8 - 4;"Escola Pia Santa Anna Mataró Infantil ""C""";JORDI GAITX PLA;26/05/2018;17:00;Pavelló Municipal d'Esports -  Moià -  Espanya;Jornada 7;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;C.F.S. Ponts;0 - 5;C.E.F.S. Fonollosa;DAVID MACARULLA CASTAÑEDA;26/05/2018;17:00;PONTS PAVELLÓ MUNICIPAL;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;Grup de Joves Can Tusell Cadet;9 - 3;A.E. Sallent Cadet;DAVID VALIENTE MARTIN;26/05/2018;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 21;"Cadet ""A""";;08. Cadet;Fútbol sala
;;F.S. Llinars Atletic Aleví;4 - 5;F.S. Llinars Aleví;BILAL ARROUCHDI;26/05/2018;17:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;F.S. Racing Llavaneres;3 - 4;Teià Futbol Cinc B;OSCAR KEVIN GUTIERREZ GUTIERREZ -  RICARD MARQUEZ SIMONI;26/05/2018;17:00;Poliesportiu De Sant Andreu De Llavaneres;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sagrerenc C.E. B;6 - 0;C.C.A. Plaza Macael B;HERMAN TORTA RECHE -  JOSE ANTONIO SABIDO GATO;26/05/2018;17:00;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.E. Maristes De Rubí;6 - 4;C.e. Gadex;DOMENEC FOLGUERA AMPURDANES -  ELVIA ELOISA CARDENAS RAMOS;26/05/2018;17:45;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Joves de Vidreres C.F.S.;5 - 3;Atlètic Vidreres;KEVIN ORTIZ MONGE -  MIGUEL ANGEL MONGE PEREZ;26/05/2018;18:00;Pavelló d'Esports Vidreres Carrer Lloret -  2 -  17411 Vidreres -  Girona;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;A.C.E. Sansur;5 - 3;F.S. Unión Llagostense MecMan;FRANCISCO JAVIER LORENTE PLANA -  MARIANO BURGOS BONAVENTURA -  MATILDE GOMEZ VIÑARAS;26/05/2018;18:00;Poliesportiu Espanya Industrial;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Betània Patmos Barcelona B;4 - 0;Escola Pia Santa Anna Mataró B;JOAN GIBERT REY -  JONATHAN GALVIS ARANGO;26/05/2018;18:00;Pavelló Universitat de Barcelona -  Avinguda Diagonal 695-701 Barcelona;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S. Begues;5 - 4;C.F.S. Clot B;JOAN RAMON BERNARDO MAÑÉ -  JOSE PEDRO CASES FERNANDEZ -  MARIANO BENITO HERRERO;26/05/2018;18:00;Pavello Jaume Viñas Pi Club de Futbol Begues Carrer dels Esports -  s/n 08859 Begues;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;A.E.F.S. Montgat;2 - 3;C.f.s. Alcalà Prat - Bar La Terraza;DAVID GALLARDO BARÓ -  DAVID GUILLÉN CUELLAR -  MARCO ANTONIO GALLARDO BARÓ;26/05/2018;18:00;Pavelló Municipal De Montgat;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Llinars Juvenil;7 - 0;"F.S. Telic Group Bigues i Riells Juvenil ""A""";BILAL ARROUCHDI;26/05/2018;18:15;Pavelló annex de Llinars del Vallès - Av. Pau Casals -  22-24 -  08450 Llinars del Vallès -  Barcelona;Jornada 21;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;Vilobí F.S.;3 - 4;Futsal Maçanet;FRANCESC CARNICAS LOPEZ -  FRANCISCO JAVIER SANGUINO BLANQUIÑO;26/05/2018;18:30;Pavelló Municipal de Vilobí d'Onyar -  Vilobí d'Onyar -  España;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;A.E. Tiana;1 - 2;Betània Patmos Barcelona;ANTONIO RUIZ MANCHON -  DAVID VALIENTE MARTIN -  NICOLAS ANDRES VALBUENA TORRES;26/05/2018;18:30;Poliesportiu Municipal De Tiana;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Can Palet FS;4 - 6;"Athletic Arrahona - Can Jonqueres ""A""";ALBERTO IGLESIAS PALOMARES -  GABRIEL MORALES CAÑAS;26/05/2018;19:15;Zona Esportiva Municipal Can Jofresa Carrer de Badalona -  4-6 08223 Terrassa;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Sagrerenc C.E.Infantil;0 - 5;E.P. Badalona Centre Infantil;;26/05/2018;;Pista Poliesportiva Sagrerenc;Jornada 7;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Grup de Joves Can Tusell Juvenil Nacional;0 - 5;Jesuïtes Clot Juvenil Nacional;ALBERTO IGLESIAS PALOMARES -  LAUREANO PILAR VILLALBA;27/05/2018;09:00;Poliesportiu Municipal De Sant Llorenç Carrer del Castellsapera -  0 -  08221 Terrassa -  Barcelona;Jornada 16;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;Atlètic Sant Boi;3 - 4;Atletic Arrahona B;MARCO ANTONIO GALLARDO BARÓ;27/05/2018;09:30;Colegio Público Josep María Ciurana -  Carrer Manuel de Falla -  Sant Boi de Llobregat -  España;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Futsal Dante;4 - 5;C.E.F.S. Granollers;JOAN GIBERT REY -  JONATHAN GALVIS ARANGO -  SAMUEL SERRANO MATA;27/05/2018;10:00;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;"Orange Futsal Castellbisbal ""B""";5 - 11;F.S Union La Salut Badalona B;DAVID VALIENTE MARTIN;27/05/2018;10:00;Pista Municipal de Castellbisbal -  C/agricultura s/n Castellbisbal;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Grup de Joves Can Tusell Cadet;5 - 3;A.E. Tiana Cadet;DAVID VALIENTE MARTIN;27/05/2018;11:30;Pista Pol. De Can Tusell (gespa Artificial);Jornada 9;"Cadet ""A""";;08. Cadet;Fútbol sala
;;"Montsant Sala 5 ""A""";4 - 1;Sagrerenc C.E. A;JOSE RIZO GOMEZ -  MARI CARMEN DELGADO MORALES -  MATILDE GOMEZ VIÑARAS;27/05/2018;11:45;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;"Futsal Dante ""B""";4 - 2;C.E.F.S. Granollers C;JONATHAN GALVIS ARANGO -  SAMUEL SERRANO MATA;27/05/2018;11:45;Parc Creueta del Coll -  Passeig de la Mare de Déu del Coll -  Barcelona -  Espanya;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Pony´s Futbol Sala ""A""";7 - 2;Alcarràs - Fraga Futsal;LAUREANO PILAR VILLALBA;27/05/2018;12:00;Poliesportiu Estacio Del Nord;Jornada 5;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""A""""";2 - 3;"Escola de Futsal Grèvol Infantil ""B""";ISMAEL BENKHAJOU BAKKALI;27/05/2018;12:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 7;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;C.E.F.S. Granollers B;2 - 2;C.D Esmeralda Procell F.s.;HERMAN TORTA RECHE -  JOEL JIMENEZ RODRIGUEZ;27/05/2018;12:00;PavellÓ Municipal De Can Bassa;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;C.E.S. Sabadell;1 - 3;C.e. Gadex B;MARIANO BURGOS BONAVENTURA;27/05/2018;12:00;Complex Esportiu Municipal Sant Oleguer -  Camí Can Quadres -  Sabadell -  Espanya;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Teià F5 Juvenil Nacional;2 - 3;F.s. Unión Llagostense MecMan Juvenil Nacional;PABLO GARCIA LLUBIA;27/05/2018;12:30;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 18;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;C.F.S. La Garriga;0 - 5;C.F.S. Inter Raudovan Hospitalet;ALBERTO IGLESIAS PALOMARES -  DAVID GUILLÉN CUELLAR;27/05/2018;12:30;Can Violí -  Avinguda 11 de Setembre -  s/n -  08530 La Garriga -  Barcelona;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Athletic Arrahona - Can Jonqueres ""A""";4 - 3;Olímpic Argentona;MARCO ANTONIO GALLARDO BARÓ -  NICOLAS ANDRES VALBUENA TORRES;27/05/2018;13:00;Cem Sud -  Carrer de Pardo Bazán -  Sabadell -  Espanya;Jornada 25;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Neurofutbol F.S.;3 - 5;Futsal Dante Cadet;GABRIEL MORALES CAÑAS;27/05/2018;14:00;Ciudad Deportiva Fundación Marcet -  Av. Can Marcet -  08035 Barcelona;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S. Viladecavalls;3 - 6;Montsant Sala5 B;MARIANO BURGOS BONAVENTURA;27/05/2018;15:00;poliesportiu municipal de viladecavalls;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Futbol Sala Corbera;5 - 2;Futbolmania F.S.;DAVID GUILLÉN CUELLAR;27/05/2018;16:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Jornada 26;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;F.s. Borges;3 - 3;Padre Damian Sagrados Corazones;DAVID MACARULLA CASTAÑEDA -  ELI GASCÓN PEREIRO -  JUAN JOSE GONZALEZ PAVON;27/05/2018;17:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;E.F.S. Alta Segarra Juvenil Nacional;6 - 6;AE Empenta - El Pilar Juvenil Nacional;ELI GASCÓN PEREIRO -  OSCAR CRUZ OSUNA;27/05/2018;18:00;Pavelló Municipal De Calaf;Jornada 18;Juvenil Nacional;;06. Juvenil Nacional;Fútbol sala
;;CFS Ibers Santa Coloma;3 - 7;Sants Atletic F.S.;ALBERT GONZALEZ GARCIA -  MATILDE GOMEZ VIÑARAS;27/05/2018;18:00;Pavelló Esportiu de la Bastida Carrer de Prat de la Riba -  s/n 08921 Santa Coloma de Gramenet Barcelona;Jornada 25;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Betis Catalunya F.S. B;4 - 2;A.E. Tiana B;MARCO ANTONIO GALLARDO BARÓ;27/05/2018;18:30;Poliesportiu Bon Pastor;Jornada 28;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;A.E. Les Botigues De Sitges;4 - 4;Escola Pia Santa Anna Mataró;ALBERTO IGLESIAS PALOMARES -  DAVID GUILLÉN CUELLAR -  GABRIEL MORALES CAÑAS;27/05/2018;19:00;Pavelló Can Roca -  Carrer del Castanyer -  s/n 08860 Castelldefels -  Barcelona;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;E.F.S. Alta Segarra;2 - 3;E.F.S. Ripoll;ELI GASCÓN PEREIRO -  GERMAN MARTIN FERNANDEZ -  OSCAR CRUZ OSUNA;27/05/2018;20:00;Pavelló Municipal De Calaf;Jornada 25;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Betània Patmos Barcelona Juvenil Nacional;6 - 2;Betània Patmos Barcelona Juvenil B;SAMUEL SERRANO MATA;29/05/2018;19:30;Escola Betània Patmos -  Carrer de Montevideo -  Barcelona -  Espanya;Cuartos de final;COPA JUVENIL;;COPA JUVENIL;Fútbol sala
;;F.S. Tèlic Group Bigues i Riells;4 - 2;C.E. Orange Papiol;ANTONIO RUIZ MANCHON -  DAVID VALIENTE MARTIN -  MARC MIRON RUIZ;29/05/2018;21:30;Pavellon Can Badell -  Avinguda Prat de la Riba -  Bigues i Riells -  Espanya;Jornada 25;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Escola Pia Santa Anna Mataró;5 - 5;C.E. Orange Papiol;DAVID GALLARDO BARÓ -  DAVID GUILLÉN CUELLAR -  MARCO ANTONIO GALLARDO BARÓ;31/05/2018;21:00;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 19;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;F.S. Unión Llagostense MecMan;3 - 2;Sagrerenc C.E. A;ADRIA VENTEO GONZÁLEZ -  ISMAEL CHAMERO RIVERO -  MARIANO BURGOS BONAVENTURA;31/05/2018;21:30;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 16;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;Teià Futbol Cinc B;2 - 4;C.E. Maristes De Rubí;ANTONIO RUIZ MANCHON -  MARC MIRON RUIZ;31/05/2018;21:30;Poliesportiu Municipal El Cim -  Carrer Josep Puigoriol s/n -  Teià;Jornada 26;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Esclop Infantil ""B""";1 - 4;Sagrerenc C.E.Infantil;JOEL JIMENEZ RODRIGUEZ;01/06/2018;19:00;Col·legi Públic Gaudí -  Carrer d'Ordesa -  Sabadell -  Espanya;Jornada 4;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;"F.S. Union Llagostense Mecman Infantil ""B""";4 - 5;"F.S. Union Llagostense Mecman Infantil ""A""""";JOSE RIZO GOMEZ;01/06/2018;21:00;Complex esportiu municipal El Turó -  Carrer de Joaquim Blume -  La Llagosta -  Espanya;Jornada 8;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;"Olimpic Argentona Benjamí ""A""";2 - 2;F.S. Llinars Benjamí;OMAR DOUAS BERROHOUY;02/06/2018;09:00;Pavelló Municipal d' Argentona;Jornada 7;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;C.E. Maristes De Rubí Aleví A;3 - 8;C.F.S. La Garriga Aleví;MARIANO BURGOS BONAVENTURA;02/06/2018;09:30;Pavello Maristes de Rubi -  magallanes 65 Rubi;Jornada 22;"Aleví ""A""";;10. Aleví;Fútbol sala
;;E.P. Badalona Centre Infantil;1 - 3;F.S. Llinars Infantil;PAOLO FORTUNATI RUBEIS;02/06/2018;10:00;Escola Jungfrau Carrer Vila Vall-Llebrera -  s/n -  08911 Badalona;Jornada 8;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;Montsant Sala 5 Cadet;3 - 5;E.P. Badalona Centre Cadet;LAUREANO PILAR VILLALBA;02/06/2018;10:00;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 22;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"Escola Pia Santa Anna Mataró Infantil ""C""";1 - 7;C.F.S. La Garriga Infantil;ISMAEL BENKHAJOU BAKKALI;02/06/2018;10:30;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 8;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
